LOWERBOUND;UPPERBOUND;SITENAME;SITEREF;RFID;ENDPOINTREF;ORDERING;DATEREF;BASENSOR;BAGTM;CH1;CH2;CO;EN;PR;TE;CQ;UV254;TU;UV;VIS;VISC;VISL;UVC;UVL;VISN;PR_MAX;PR_MIN;THP;HP;BP;TBP;V;SEC
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230443";"3011";"asc";04/01/2020 02:00:00;;;.05;.06;485;;7.95;11.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230443";"3011";"asc";04/01/2020 02:05:00;;;.05;.06;480;;7.95;11.4;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230443";"3011";"asc";04/01/2020 02:10:00;;;.04;.05;485;;7.95;11.7;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230443";"3011";"asc";04/01/2020 02:15:00;;;.02;.03;480;;7.95;12.6;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230443";"3011";"asc";04/01/2020 02:20:00;;;.02;.03;480;;7.95;12.9;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230443";"3011";"asc";04/01/2020 02:25:00;;;.02;.03;480;;7.95;12.9;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230443";"3011";"asc";04/01/2020 02:30:00;;;.02;.03;480;;7.95;12.9;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230443";"3011";"asc";04/01/2020 02:35:00;;;.02;.03;480;;7.95;12.3;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230443";"3011";"asc";04/01/2020 02:40:00;;;.03;.03;480;;7.95;12;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230443";"3011";"asc";04/01/2020 02:45:00;;;.04;.05;480;;7.95;11.7;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230443";"3011";"asc";04/01/2020 02:50:00;;;.05;.05;480;;7.95;11.7;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230443";"3011";"asc";04/01/2020 02:55:00;;;.04;.05;480;;7.95;11.7;;;;;;;;;;;;;;;;;;
05/01/2021 08:10:56;05/21/2021 08:10:56;"Nice";"";"KP33776230443";"3011";"asc";04/01/2020 03:00:00;;;.04;.05;480;;7.95;11.7;;;;;;;;;;;;;;;;;;
