LOWERBOUND;UPPERBOUND;SITENAME;SITEREF;RFID;ENDPOINTREF;ORDERING;DATEREF;BASENSOR;BAGTM;CH1;CH2;CO;EN;PR;TE;CQ;UV254;TU;UV;VIS;VISC;VISL;UVC;UVL;VISN;PR_MAX;PR_MIN;THP;HP;BP;TBP;V;SEC
05/01/2021 08:24:00;05/21/2021 08:24:00;"Nice";"";"KP33776230443";"3011";"asc";04/01/2021 02:00:00;;;.13;.13;690;;7.9;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:00;05/21/2021 08:24:00;"Nice";"";"KP33776230443";"3011";"asc";04/01/2021 02:05:00;;;.13;.14;695;;7.9;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:00;05/21/2021 08:24:00;"Nice";"";"KP33776230443";"3011";"asc";04/01/2021 02:10:00;;;.13;.14;695;;7.9;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:00;05/21/2021 08:24:00;"Nice";"";"KP33776230443";"3011";"asc";04/01/2021 02:15:00;;;.13;.14;695;;7.9;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:00;05/21/2021 08:24:00;"Nice";"";"KP33776230443";"3011";"asc";04/01/2021 02:20:00;;;.13;.14;695;;7.9;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:00;05/21/2021 08:24:00;"Nice";"";"KP33776230443";"3011";"asc";04/01/2021 02:25:00;;;.15;.15;695;;7.9;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:00;05/21/2021 08:24:00;"Nice";"";"KP33776230443";"3011";"asc";04/01/2021 02:30:00;;;.15;.15;695;;7.9;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:00;05/21/2021 08:24:00;"Nice";"";"KP33776230443";"3011";"asc";04/01/2021 02:35:00;;;.15;.16;700;;7.9;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:00;05/21/2021 08:24:00;"Nice";"";"KP33776230443";"3011";"asc";04/01/2021 02:40:00;;;.15;.15;700;;7.95;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:00;05/21/2021 08:24:00;"Nice";"";"KP33776230443";"3011";"asc";04/01/2021 02:45:00;;;.15;.15;700;;7.95;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:00;05/21/2021 08:24:00;"Nice";"";"KP33776230443";"3011";"asc";04/01/2021 02:50:00;;;.15;.16;700;;7.95;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:00;05/21/2021 08:24:00;"Nice";"";"KP33776230443";"3011";"asc";04/01/2021 02:55:00;;;.15;.16;700;;7.95;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:00;05/21/2021 08:24:00;"Nice";"";"KP33776230443";"3011";"asc";04/01/2021 03:00:00;;;.15;.16;700;;7.95;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:00;05/21/2021 08:24:00;"Nice";"";"KP33776230443";"3011";"asc";04/01/2021 03:05:00;;;.15;.16;700;;7.95;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:00;05/21/2021 08:24:00;"Nice";"";"KP33776230443";"3011";"asc";04/01/2021 03:10:00;;;.15;.16;700;;7.95;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:00;05/21/2021 08:24:00;"Nice";"";"KP33776230443";"3011";"asc";04/01/2021 03:15:00;;;.15;.16;700;;7.95;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:00;05/21/2021 08:24:00;"Nice";"";"KP33776230443";"3011";"asc";04/01/2021 03:20:00;;;.15;.16;700;;7.95;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:00;05/21/2021 08:24:00;"Nice";"";"KP33776230443";"3011";"asc";04/01/2021 03:25:00;;;.15;.15;700;;7.95;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:00;05/21/2021 08:24:00;"Nice";"";"KP33776230443";"3011";"asc";04/01/2021 03:30:00;;;.15;.16;700;;7.95;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:00;05/21/2021 08:24:00;"Nice";"";"KP33776230443";"3011";"asc";04/01/2021 03:35:00;;;.15;.15;700;;8;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:00;05/21/2021 08:24:00;"Nice";"";"KP33776230443";"3011";"asc";04/01/2021 03:40:00;;;.15;.15;700;;8;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:00;05/21/2021 08:24:00;"Nice";"";"KP33776230443";"3011";"asc";04/01/2021 03:45:00;;;.15;.16;700;;8;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:00;05/21/2021 08:24:00;"Nice";"";"KP33776230443";"3011";"asc";04/01/2021 03:50:00;;;.15;.16;700;;8;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:00;05/21/2021 08:24:00;"Nice";"";"KP33776230443";"3011";"asc";04/01/2021 03:55:00;;;.16;.16;700;;8.05;14.4;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:00;05/21/2021 08:24:00;"Nice";"";"KP33776230443";"3011";"asc";04/01/2021 04:00:00;;;.16;.16;700;;8.05;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:00;05/21/2021 08:24:00;"Nice";"";"KP33776230443";"3011";"asc";04/01/2021 04:05:00;;;.16;.17;700;;8.05;14.4;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:00;05/21/2021 08:24:00;"Nice";"";"KP33776230443";"3011";"asc";04/01/2021 04:10:00;;;.16;.17;700;;8.05;14.4;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:00;05/21/2021 08:24:00;"Nice";"";"KP33776230443";"3011";"asc";04/01/2021 04:15:00;;;.16;.16;700;;8.05;14.4;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:00;05/21/2021 08:24:00;"Nice";"";"KP33776230443";"3011";"asc";04/01/2021 04:20:00;;;.16;.16;700;;8.1;14.4;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:00;05/21/2021 08:24:00;"Nice";"";"KP33776230443";"3011";"asc";04/01/2021 04:25:00;;;.16;.16;700;;8.1;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:00;05/21/2021 08:24:00;"Nice";"";"KP33776230443";"3011";"asc";04/01/2021 04:30:00;;;.15;.16;700;;8.05;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:00;05/21/2021 08:24:00;"Nice";"";"KP33776230443";"3011";"asc";04/01/2021 04:35:00;;;.15;.15;700;;8;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:00;05/21/2021 08:24:00;"Nice";"";"KP33776230443";"3011";"asc";04/01/2021 04:40:00;;;.15;.16;700;;8;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:00;05/21/2021 08:24:00;"Nice";"";"KP33776230443";"3011";"asc";04/01/2021 04:45:00;;;.15;.15;700;;8;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:00;05/21/2021 08:24:00;"Nice";"";"KP33776230443";"3011";"asc";04/01/2021 04:50:00;;;.15;.15;700;;8;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:00;05/21/2021 08:24:00;"Nice";"";"KP33776230443";"3011";"asc";04/01/2021 04:55:00;;;.16;.16;700;;8;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:00;05/21/2021 08:24:00;"Nice";"";"KP33776230443";"3011";"asc";04/01/2021 05:00:00;;;.14;.14;700;;8;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:00;05/21/2021 08:24:00;"Nice";"";"KP33776230443";"3011";"asc";04/01/2021 05:05:00;;;.13;.14;700;;8;14.1;;;;;;;;;;;;;;;;;;
