LOWERBOUND;UPPERBOUND;SITENAME;SITEREF;RFID;ENDPOINTREF;ORDERING;DATEREF;BASENSOR;BAGTM;CH1;CH2;CO;EN;PR;TE;CQ;UV254;TU;UV;VIS;VISC;VISL;UVC;UVL;VISN;PR_MAX;PR_MIN;THP;HP;BP;TBP;V;SEC
05/01/2021 08:24:37;05/21/2021 08:24:37;"Nice";"";"KP33776230443";"3011";"asc";05/01/2021 02:00:00;;;.13;.14;685;;7.9;15;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:37;05/21/2021 08:24:37;"Nice";"";"KP33776230443";"3011";"asc";05/01/2021 02:05:00;;;.13;.14;685;;7.9;15;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:37;05/21/2021 08:24:37;"Nice";"";"KP33776230443";"3011";"asc";05/01/2021 02:10:00;;;.13;.15;685;;7.9;15;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:37;05/21/2021 08:24:37;"Nice";"";"KP33776230443";"3011";"asc";05/01/2021 02:15:00;;;.14;.15;685;;7.9;15;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:37;05/21/2021 08:24:37;"Nice";"";"KP33776230443";"3011";"asc";05/01/2021 02:20:00;;;.14;.15;685;;7.9;15;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:37;05/21/2021 08:24:37;"Nice";"";"KP33776230443";"3011";"asc";05/01/2021 02:25:00;;;.14;.15;685;;7.9;15;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:37;05/21/2021 08:24:37;"Nice";"";"KP33776230443";"3011";"asc";05/01/2021 02:30:00;;;.14;.15;685;;7.9;15;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:37;05/21/2021 08:24:37;"Nice";"";"KP33776230443";"3011";"asc";05/01/2021 02:35:00;;;.14;.15;685;;7.9;15;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:37;05/21/2021 08:24:37;"Nice";"";"KP33776230443";"3011";"asc";05/01/2021 02:40:00;;;.14;.15;685;;7.9;15;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:37;05/21/2021 08:24:37;"Nice";"";"KP33776230443";"3011";"asc";05/01/2021 02:45:00;;;.14;.15;685;;7.9;15;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:37;05/21/2021 08:24:37;"Nice";"";"KP33776230443";"3011";"asc";05/01/2021 02:50:00;;;.14;.15;685;;7.9;15;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:37;05/21/2021 08:24:37;"Nice";"";"KP33776230443";"3011";"asc";05/01/2021 02:55:00;;;.14;.15;685;;7.95;15;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:37;05/21/2021 08:24:37;"Nice";"";"KP33776230443";"3011";"asc";05/01/2021 03:00:00;;;.14;.15;685;;7.95;15;;;;;;;;;;;;;;;;;;
05/01/2021 08:24:37;05/21/2021 08:24:37;"Nice";"";"KP33776230443";"3011";"asc";05/01/2021 03:05:00;;;.14;.14;685;;7.95;15;;;;;;;;;;;;;;;;;;
