LOWERBOUND;UPPERBOUND;SITENAME;SITEREF;RFID;ENDPOINTREF;ORDERING;DATEREF;BASENSOR;BAGTM;CH1;CH2;CO;EN;PR;TE;CQ;UV254;TU;UV;VIS;VISC;VISL;UVC;UVL;VISN;PR_MAX;PR_MIN;THP;HP;BP;TBP;V;SEC
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/01/2020 19:05:00;;;.13;.14;680;;7.7;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/01/2020 19:10:00;;;.13;.14;680;;7.7;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/01/2020 19:15:00;;;.13;.14;680;;7.7;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/01/2020 19:20:00;;;.13;.14;680;;7.7;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/01/2020 19:25:00;;;.13;.14;680;;7.7;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/01/2020 19:30:00;;;.14;.15;680;;7.7;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/01/2020 19:35:00;;;.14;.14;685;;7.7;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/01/2020 19:40:00;;;.14;.14;685;;7.7;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/01/2020 19:45:00;;;.14;.14;685;;7.7;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/01/2020 19:50:00;;;.14;.15;685;;7.7;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/01/2020 19:55:00;;;.14;.14;685;;7.7;14.4;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/01/2020 20:00:00;;;.13;.14;685;;7.7;14.4;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/01/2020 20:05:00;;;.14;.14;685;;7.75;14.4;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/01/2020 20:10:00;;;.14;.15;685;;7.8;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/01/2020 20:15:00;;;.14;.15;680;;7.85;14.4;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/01/2020 20:20:00;;;.14;.15;680;;7.85;14.4;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/01/2020 20:25:00;;;.14;.15;680;;7.85;14.4;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/01/2020 20:30:00;;;.14;.15;680;;7.85;14.4;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/01/2020 20:35:00;;;.14;.15;685;;7.85;14.4;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/01/2020 20:40:00;;;.14;.15;685;;7.85;14.4;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/01/2020 20:45:00;;;.14;.14;685;;7.85;14.4;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/01/2020 20:50:00;;;.14;.15;685;;7.85;14.4;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/01/2020 20:55:00;;;.14;.15;690;;7.85;14.4;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/01/2020 21:00:00;;;.14;.14;690;;7.8;14.4;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/02/2020 05:05:00;;;.13;.13;690;;7.95;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/02/2020 05:10:00;;;.13;.14;690;;7.95;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/02/2020 05:15:00;;;.13;.13;690;;7.95;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/02/2020 05:20:00;;;.12;.13;690;;7.95;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/02/2020 05:25:00;;;.13;.14;690;;7.95;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/02/2020 05:30:00;;;.12;.13;690;;7.95;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/02/2020 05:35:00;;;.13;.13;690;;7.95;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/02/2020 05:40:00;;;.13;.14;690;;7.9;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/02/2020 05:45:00;;;.13;.14;690;;7.9;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/02/2020 05:50:00;;;.13;.14;690;;7.95;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/02/2020 05:55:00;;;.13;.14;690;;7.95;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/02/2020 06:00:00;;;.13;.14;690;;7.95;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/02/2020 06:05:00;;;.14;.14;695;;7.9;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/02/2020 06:10:00;;;.14;.14;695;;7.9;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/02/2020 06:15:00;;;.14;.14;695;;7.95;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/02/2020 06:20:00;;;.13;.14;700;;7.95;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/02/2020 06:25:00;;;.13;.14;700;;7.95;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/02/2020 06:30:00;;;.14;.14;700;;7.9;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/02/2020 06:35:00;;;.13;.14;700;;7.9;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/02/2020 06:40:00;;;.13;.14;700;;7.95;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/02/2020 06:45:00;;;.14;.15;700;;7.9;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/02/2020 06:50:00;;;.13;.14;700;;7.9;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/02/2020 06:55:00;;;.14;.15;700;;7.95;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/02/2020 07:00:00;;;.14;.15;700;;7.95;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/02/2020 07:05:00;;;.14;.14;700;;7.95;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/02/2020 07:10:00;;;.14;.15;695;;7.95;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/02/2020 07:15:00;;;.14;.14;695;;7.9;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/02/2020 07:20:00;;;.13;.14;695;;7.95;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/02/2020 07:25:00;;;.14;.15;695;;7.95;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/02/2020 07:30:00;;;.14;.15;695;;7.9;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/02/2020 07:35:00;;;.15;.16;700;;7.95;14.1;;;;;;;;;;;;;;;;;;
05/01/2021 08:18:59;05/21/2021 08:18:59;"Nice";"";"KP33776230443";"3011";"asc";12/02/2020 07:40:00;;;.15;.16;700;;7.9;14.1;;;;;;;;;;;;;;;;;;
